Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D10.0mm_P5.00mm,1,470u,
"D1, D2, D3",LED_D5.0mm,3,LED,
D4,D_SMA_Handsoldering,1,SMAJ5.0A,
F1,Fuseholder_Littelfuse_Nano2_154x_3D,1,Fuse,
J1,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
"J10, J12",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
"J11, J4, J7, J8, J9",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,5,Conn_01x02,
J2,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
"J3, J6",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
J5,Samtec_HLE-140-02-L-DV-PE_2x40_P2.54mm_Horizontal,1,Conn_02x40_Odd_Even,
R1,0805,1,330,
"R2, R3",0805,2,3.3k,
"R4, R5",0805,2,4.7k,
SW1,SW_PUSH_6mm,1,SW_Push,
SW2,Nidec_Copal_CAS-120A,1,SW_Nidec_CAS-120A1,
