Designator,Mid X,Mid Y,Rotation,Layer
C1,103.75,52.43,180.0,top
D1,105.865,23.44,180.0,top
D2,105.94,42.76,180.0,top
D3,105.53,34.83,180.0,top
D4,47.73,60.86,180.0,bottom
F1,93.005,59.79,0.0,bottom
J1,53.46,56.05,270.0,top
J10,99.52,45.38,270.0,top
J11,98.78,22.8,90.0,top
J12,105.99,60.11,270.0,top
J2,93.08,31.73,0.0,top
J3,92.94,3.29,270.0,top
J4,105.83,16.61,0.0,top
J5,55.55,67.66,0.0,bottom
J6,73.96,24.03,90.0,top
J7,98.77,37.14,90.0,top
J8,98.79,15.62,90.0,top
J9,98.81,29.99,90.0,top
R1,105.27,28.01,0.0,top
R2,99.08,42.25,0.0,top
R3,105.23,30.26,0.0,top
R4,86.45,42.2,180.0,top
R5,86.4,45.8,180.0,top
SW1,102.97,4.73,0.0,top
SW2,105.4,10.78,270.0,top
