Designator,Mid X,Mid Y,Rotation,Layer
C1,164.7,-77.3,270.0,top
C3,192.5,-54.8,180.0,top
C6,188.0375,-54.8,0.0,top
J1,126.0,-86.3,270.0,top
J10,228.92,-102.53,90.0,top
J2,126.05,-95.3,270.0,top
J3,229.03,-66.62,90.0,top
J4,179.4869,-112.55,0.0,top
J5,174.831113,-48.338029,270.0,bottom
J6,132.5344,-108.9121,180.0,top
J7,228.97,-76.15,90.0,top
J8,228.91,-84.98,90.0,top
J9,228.86,-93.76,90.0,top
PS1,149.9,-85.5,0.0,top
Q1,150.5,-112.1,180.0,top
Q2,188.85,-100.54,270.0,top
R1,149.5,-106.3,0.0,top
R6,182.5,-101.8,90.0,top
U1,213.2,-83.875,0.0,top
U3,196.6,-63.9,90.0,top
U4,184.1,-64.04,90.0,top
