"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","20pf","","","","Capacitor_SMD:C_01005_0402Metric","~"
"C4","1","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C5,C6,C7,T_C1,T_C3","5","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C8","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C9","1","22uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1","1","Green","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"J1","1","~","","","","custom_components:6509475",""
"J6","1","Screw_Terminal_01x03","","","","custom_components:screw_junc_254_3by1","~"
"J7","1","Screw_Terminal_01x02","","","","custom_components:screw_junc_254_2by1","~"
"R1","1","1k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R6","1","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"SW1","1","EG1218","","","","custom_components:slide_switch_EGER1218_Thruster","EG1218"
"U1,U3","2","~","","","","custom_components:ESC",""
"U2,U4","2","~","","","","Thruster_Control_Card_Custom_Footprints:ESC",""
"U5","1","STM32G0B1RETx","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32g0b1re.pdf"
"U6","1","ATA6561-GAQW-N","","","","custom_components:SOIC8_4P9X3P9MC_MCH","ATA6561-GAQW-N"
"U7","1","~","","","","custom_components:YSX321SC_HSE_Oscillator",""
